"problem","answer","solution","source","type","problem_type","reasonable_answer","aime_suitability","aime_answer","difficulty"
"An elementary school teacher is taking a class of 20 students on a field trip. To make sure her students don't get lost, she uses the buddy system - using the complete class roster, she pairs the students into 10 pairs and leaves if no person reports that someone from his or her pair is missing. In particular, the teacher will not notice if both students from a pair go missing. Suppose each student independently gets lost with probability $\frac{1}{10}$. Given that the teacher leaves, what is the probability that no student got lost?","$\frac{81^{10}}{82^{10}}$","Answer: 10 The prime numbers under 30 are: $2,3,5,7,11,13,17,19,23,29$. There are 10 in total.
2. [5]

Answer: 180 Albert's choice of burgers, sides, and drinks are independent events. Therefore, we can use the Multiplication Principle of Counting Independent Events to find the total number of different meals that Albert can get is:

$$
5 \times 3 \times 12=180
$$
3. [5]

Answer: $199 \pi$ The area of a circle of radius 100 is $100^{2} \pi$, and the area of a circle of radius 99 is $99^{2} \pi$. Therefore, the area of the region between them is $\left(100^{2}-99^{2}\right) \pi=(100+99)(100-99) \pi=199 \pi$.
4. [6]

Answer: $10 \angle C B D=\angle C D B$ because $B C=C D$. Notice that $\angle B C D=80+50+30=160$, so $\angle C B D=\angle C D B=10$.
5. [6]

Answer: | $\frac{20}{3}$ |
| :--- |

$$
\begin{array}{r}
20=4 a^{2}+9 b^{2} \\
20+12 a b=4 a^{2}+12 a b+9 b^{2} \\
20+12 a b=(2 a+3 b)^{2} \\
20+12 a b=100 \\
12 a b=80 \\
a b=\frac{20}{3}
\end{array}
$$

6. [6]

Answer: 25502400

$$
\begin{aligned}
& \left(1^{3}+3 \cdot 1^{2}+3 \cdot 1\right)+\left(2^{3}+3 \cdot 2^{2}+3 \cdot 2\right)+\cdots+\left(99^{3}+3 \cdot 99^{2}+3 \cdot 99\right) \\
& =\left(1^{3}+3 \cdot 1^{2}+3 \cdot 1+1\right)+\left(2^{3}+3 \cdot 2^{2}+3 \cdot 2+1\right)+\cdots+\left(99^{3}+3 \cdot 99^{2}+3 \cdot 99+1\right)-99 \\
& =(1+1)^{3}+(2+1)^{3}+\ldots(99+1)^{3}-99 \\
& =1^{3}+(1+1)^{3}+(2+1)^{3}+\ldots(99+1)^{3}-100 \\
& =\left(\frac{100(100+1)}{2}\right)^{2}-100 \\
& =25502400
\end{aligned}
$$

7. $[\mathbf{7}]$

Answer: 335

$$
\begin{aligned}
a_{n} & =1+3+3^{2}+\ldots+3^{n} \\
3 a_{n} & =3+3^{2}+3^{3}+\ldots+3^{n+1} \\
3 a_{n} & =3^{n+1}-1+S_{n} \\
a_{n} & =\frac{3^{n+1}-1}{2}
\end{aligned}
$$

Because $\operatorname{gcd}(2,7)=1$, to demonstrate that $7 \left\lvert\, a_{n}=\frac{3^{n+1}-1}{2}\right.$ is equivalent to showing that $3^{n+1}-1 \equiv 0$ mod 7

However $3^{n+1}-1=0 \bmod 7 \Longrightarrow n+1 \equiv 0 \bmod 6$, hence the values of $n \leq 2012$ are $5,11,17, \ldots$, 2009, which is in total

$$
\frac{2009+1}{6}=335
$$
possible terms.
8. $[\mathbf{7}]$

Answer: | $\frac{169}{425}$ |
| :--- | There are 13 cards of each suit. The probability that the second card has a different suit than the first is $\frac{3 \cdot 13}{52-1}$. The probability that the third card has a different suit than the first and second card is $\frac{2 \cdot 13}{52-2}$

Since the two events need to both occur, we use the multiplicative rule:

$$
\begin{gathered}
\frac{3 \cdot 13}{52-1} \cdot \frac{2 \cdot 13}{52-2} \\
=\frac{169}{425}
\end{gathered}
$$

9. [7]

Answer: 4 Because 23 is odd, we must have an odd number of odd numbers in our set. Since the smallest odd composite number is 9 , we cannot have more than 2 odd numbers, as otherwise the sum would be at least 27 . Therefore, the set has exactly one odd number.
The only odd composite numbers less than 23 are 9,15 , and 21 . If we include 21 , then the rest of the set must include composite numbers that add up to 2 , which is impossible. If we include 15 , then the rest of the set must include distinct even composite numbers that add up to 8 . The only possibility is the set $\{8\}$. If we include 9 , the rest of the set must contain distinct even composite numbers that add to 14 . The only possibilities are $\{14\},\{4,10\}$, and $\{6,8\}$. We have exhausted all cases, so there are a total of 4 sets.
10. $[8]$

Answer: 1006 Taking both sides modulo 2012, we see that $a_{n} \equiv a_{n-1}+n(\bmod 2012)$. Therefore, $a_{2012} \equiv a_{2011}+2012 \equiv a_{2010}+2011+2012 \equiv \ldots \equiv 1+2+\ldots+2012 \equiv \frac{(2012)(2013)}{2} \equiv(1006)(2013) \equiv (1006)(1) \equiv 1006(\bmod 2012)$.
11. [8]

Answer: 45 The number of zeroes that $n!$ ends with is the largest power of 10 dividing $n!$. The exponent of 5 dividing $n$ ! exceeds the exponent of 2 dividing $n!$, so we simply seek the exponent of 5 dividing $n!$.
For a number less than 125 , this exponent is just the number of multiples of 5 , but not 25 , less than $n$ plus twice the number of multiples of 25 less than $n$.
Counting up, we see that 24 ! ends with 4 zeroes while 25 ! ends with 6 zeroes, so $n$ ! cannot end with 5 zeroes. Continuing to count up, we see that the smallest $n$ such that $n!$ ends with 10 zeroes is 45 .
12. [8]

Answer: $\frac{2 \pi-\sqrt{3}}{2}$ Let $A_{\triangle}$ be the equilateral triangle. Let $A_{1}$ be the area of the region outside of the equilateral triangle but inside the second and third circles. Define $A_{2}, A_{3}$ analogously. We have $A_{1}=A_{2}=A_{3}=A_{k}=$

$$
\left(\frac{1^{2} \cdot \pi}{3}-\frac{1^{2} \cdot \sin 120}{2}\right)=\frac{4 \pi-3 \sqrt{3}}{12},
$$
and
$$
A_{\triangle}=\frac{1^{2} \cdot \sin 60}{2}=\frac{\sqrt{3}}{4} .
$$

Thus, the total area is

$$
A_{1}+A_{2}+A_{3}+A_{\triangle}=3 \cdot \frac{4 \pi-3 \sqrt{3}}{12}+\frac{\sqrt{3}}{4}=\frac{2 \pi-\sqrt{3}}{2} .
$$
13. $[9]$

Answer: $6 \sqrt{3}$ Let $A B$ be $x$. Then, $A C=18-7-x=11-x$. Using the law of cosines gives:

$$
\begin{aligned}
x^{2}+(11-x)^{2}-2 x(11-x) \cos 60^{\circ} & =7^{2} \\
3 x^{2}-33 x+72 & =0 \\
x & =3 \text { or } 8
\end{aligned}
$$

Therefore, $A B=8$ and $A C=3$ or $A B=3$ and $A C=8$. In both cases, the area of the triangle is:
$\frac{1}{2} \cdot 8 \cdot 3 \sin 60^{\circ}=6 \sqrt{3}$.
14. [9]

Answer: 32 First, we can fix the position of the 1 . Then, by the condition that the numbers are increasing along each arc from 1 , we know that the 2 must be adjacent to the 1 ; so we have two options for its placement. Similarly, we have two options for placing each of $3,4,5,6$ in that order. Finally, the 7 must go in the remaining space, for a total of $2^{5}=32$ orderings.
15. [9]

Answer: $49 \pi$ To find the region in question, we want to find $(a, b)$ such that the discriminant of the quadratic is not positive. In other words, we want

$$
4(a+b-7)^{2}-4(a)(2 b) \leq 0 \Leftrightarrow a^{2}+b^{2}-7 a-7 b+49 \leq 0 \Leftrightarrow(a-7)^{2}+(b-7)^{2} \leq 49,
$$
which is a circle of radius 7 centered at ( 7,7 ) and hence has area $49 \pi$.
16. [10]

Answer: 11 We divide this problem into cases based on the relative position of the two red beads:

- They are adjacent. Then, there are 4 possible placements of the green and blue beads: GGBB, GBBG, GBGB, BGGB.
- They are 1 bead apart. Then, there are two choices for the bead between then and 2 choices for the other bead of that color, for a total of 4 .
- They are opposite. Then, there are three choices for the placement of the green beads.

This gives a total of 11 arrangements.
17. [10]

Answer: $\left(\frac{5}{4}, \frac{1}{2}, \frac{1}{4}\right)$ We can rewrite the equation in terms of $\ln 2, \ln 3, \ln 5$, to get
$3 \ln 2+3 \ln 3+2 \ln 5=\ln 5400=p x+q y+r z=(p+3 q+r) \ln 2+(p+2 q+3 r) \ln 3+(p+q+r) \ln 5$.
Consequently, since $p, q, r$ are rational we want to solve the system of equations $p+3 q+r=3, p+ 2 q+3 r=3, p+q+r=2$, which results in the ordered triple $\left(\frac{5}{4}, \frac{1}{2}, \frac{1}{4}\right)$.
18. [10]

Answer: $1+\frac{\sqrt{3}}{3} \quad D B C$ is a right triangle with hypotenuse $D C$. Since $D E=E C, E$ is the midpoint of this right triangle's hypotenuse, and it follows that $E$ is the circumcenter of the triangle. It follows that $B E=D E=C E$, as these are all radii of the same circle. A similar argument shows that $B D=D E=A D$.
Thus, $B D=D E=D E$, and triangle $B D E$ is equilateral. So, $\angle D B E=\angle B E D=\angle E D B=60^{\circ}$. We have $\angle B E C=180^{\circ}-\angle B E D=120^{\circ}$. Because $B E=C E$, triangle $B E C$ is isosceles and $\angle E C B=30^{\circ}$. Therefore, $D B C$ is a right triangle with $\angle D B C=90^{\circ}, \angle B C D=30^{\circ}$, and $\angle C D B=60^{\circ}$. This means that $C D=\frac{2}{\sqrt{3}} B C$. Combined iwth $C D=\frac{2}{3}$, we have $B C=\frac{\sqrt{3}}{3}$. Similarly, $A B=\frac{\sqrt{3}}{3}$, so $A B+A C=1+\frac{\sqrt{3}}{3}$.
19. [11]

Answer: 21 First, note that $525=3 \times 7 \times 5 \times 5$. Then, taking the equation modulo 7 gives that $7 \mid x$; let $x=7 x^{\prime}$ for some nonnegative integer $x^{\prime}$. Similarly, we can write $y=5 y^{\prime}$ and $z=3 z^{\prime}$ for some nonnegative integers $y^{\prime}, z^{\prime}$. Then, after substitution and division of both sides by 105 , the given equation is equivalent to $x^{\prime}+y^{\prime}+z^{\prime}=5$. This is the same as the problem of placing 2 dividers among 5 balls, so is $\binom{7}{2}=21$.
20. [11]

Answer: | $81^{10}$","HMMT November 2012 Guts #20","counting","numerical","True","4","182","5.5"
"$A B C$ is a triangle with $A B=7, B C=10$, and $C A=13$. Point $D$ lies on segment $B C$ such that $D C=2 B D$. Point $E$ lies on segment $A D$ such that $A E=4 E D$. Point $F$ lies on segment $A C$ such that $F C=5 A F$. Find the area of $\triangle E F C$.","$\frac{80 \sqrt{3}}{9}$","Answer: $\frac{80 \sqrt{3}}{9}$ By shared bases, we know that

$$
[E F C]=\left(\frac{5}{6}\right)[A E C]=\left(\frac{5}{6}\right)\left(\frac{4}{5}\right)[A D C]=\left(\frac{5}{6}\right)\left(\frac{4}{5}\right)\left(\frac{2}{3}\right)[A B C] .
$$

By Heron's formula, we find that $[A B C]=\sqrt{(15)(8)(2)(5)}=20 \sqrt{3}$, so $[A E C]=\frac{80 \sqrt{3}}{9}$","HMMT November 2012 Guts #21","geometry","numerical","True","5","92","6.0"
"Alice generates an infinite decimal by rolling a fair 6 -sided die with the numbers $1,2,3,5,7$, and 9 infinitely many times, and appending the resulting numbers after a decimal point. What is the expected value of her number?","$\frac{1}{2}$","Answer: $\frac{1}{2}$ Let $X_{n}$ be the $n$th number rolled. The number formed, $0 . \overline{X_{1} X_{2}} \cdots$, is simply $\sum_{n=1}^{\infty} \frac{X_{n}}{10^{n}}$. By linearity of expectation, the expected value is $\sum_{n=1}^{\infty} \mathbb{E}\left(\frac{X_{n}}{10^{n}}\right)=\sum_{n=1}^{\infty} \frac{\mathbb{E}\left(X_{n}\right)}{10^{n}}$. However, the rolls are independent: for all $n, \mathbb{E}\left(X_{n}\right)=\frac{1}{6}(1+2+3+5+7+9)=\frac{9}{2}$. So, our answer is $\frac{9}{2} \cdot \sum_{n=1}^{\infty} \frac","HMMT November 2012 Guts #22","misc","numerical","True","4","3","5.0"
"$A B C$ is a triangle with $A B=7, B C=10$, and $C A=13$. Point $D$ lies on segment $B C$ such that $D C=2 B D$. Point $E$ lies on segment $A D$ such that $A E=4 E D$. Point $F$ lies on segment $A C$ such that $F C=5 A F$. Find the area of $\triangle E F C$.

## HMMT NOVEMBER 2012, 10 NOVEMBER 2012 - GUTS ROUND

22. [12] Alice generates an infinite decimal by rolling a fair 6 -sided die with the numbers $1,2,3,5,7$, and 9 infinitely many times, and appending the resulting numbers after a decimal point. What is the expected value of her number?
23. [12] $A B C$ is a triangle with $A B=4, B C=6$, and $C A=7$. Let $\Omega$ be the circumcircle of $A B C$; the tangent to $\Omega$ passing through $A$ meets the extension of side $B C$ at $P$. Find the length $P B$.","$\frac{32}{11}$","Answer: $\frac{32}{11}$ Since $A","HMMT November 2012 Guts #23","geometry","numerical","True","4","84","5.5"
"12 children sit around a circle. Find the number of ways we can distribute 4 pieces of candy among them such that each child gets at most one piece of candy and no two adjacent children both get a piece of candy.","105","Answer: 105 Since 4 pieces of candy are distributed, there must be exactly 8 children who do not receive any candy; since no two consecutive children do receive candy, the 8 who do not must consist of 4 groups of consecutive children. We divide into cases based on the sizes of these groups:

- $\{5,1,1,1\}$ : there are 12 places to begin the group of 5 children who do not receive any candy
- $\{4,2,1,1\}$ : there are 12 places to begin the group of 4 children who do not receive candy and then 3 choices for the group of 2 children which does not receive candy, for a total of 36 choices
- $\{3,3,1,1\}$ : these 8 children can either be bunched in the order $3,3,1,1$, or in the order $3,1,3,1$; the first has 12 positions in which to begin the first group of 3 non-candy receiving children and the second has 6 possibilities (due to symmetry), for a total of 18
- $\{3,2,2,1\}$ : there are 12 places to begin the group of 3 children who do not receive candy and then 3 choices for the group of 1 child which does not receive candy, for a total of 36 choices
- $\{2,2,2,2\}$ : there are $12 / 4=3$ ways in which this can occur

This gives a total of $12+36+18+36+3=105$","HMMT November 2012 Guts #24","counting","numerical","True","4","105","6.0"
"Triangle $A B C$ satisfies $A B=8, B C=9$, and $C A=10$. Evaluate $\frac{\sin ^{2} B+\sin ^{2} C-\sin ^{2} A}{\sin B \cdot \sin C}$.","$\frac{83}{80}$","Answer: $\frac{2 \pi-\sqrt{3}}{2}$ Let $A_{\triangle}$ be the equilateral triangle. Let $A_{1}$ be the area of the region outside of the equilateral triangle but inside the second and third circles. Define $A_{2}, A_{3}$ analogously. We have $A_{1}=A_{2}=A_{3}=A_{k}=$

$$
\left(\frac{1^{2} \cdot \pi}{3}-\frac{1^{2} \cdot \sin 120}{2}\right)=\frac{4 \pi-3 \sqrt{3}}{12},
$$
and
$$
A_{\triangle}=\frac{1^{2} \cdot \sin 60}{2}=\frac{\sqrt{3}}{4} .
$$

Thus, the total area is

$$
A_{1}+A_{2}+A_{3}+A_{\triangle}=3 \cdot \frac{4 \pi-3 \sqrt{3}}{12}+\frac{\sqrt{3}}{4}=\frac{2 \pi-\sqrt{3}}{2} .
$$
13. $[9]$

Answer: $6 \sqrt{3}$ Let $A B$ be $x$. Then, $A C=18-7-x=11-x$. Using the law of cosines gives:

$$
\begin{aligned}
x^{2}+(11-x)^{2}-2 x(11-x) \cos 60^{\circ} & =7^{2} \\
3 x^{2}-33 x+72 & =0 \\
x & =3 \text { or } 8
\end{aligned}
$$

Therefore, $A B=8$ and $A C=3$ or $A B=3$ and $A C=8$. In both cases, the area of the triangle is:
$\frac{1}{2} \cdot 8 \cdot 3 \sin 60^{\circ}=6 \sqrt{3}$.","HMMT November 2012 Guts #25","geometry","numerical","True","4","163","5.5"
"$x_{1}, x_{2}, x_{3}, \ldots$ is a sequence of real numbers satisfying $x_{1}=1, x_{2}=2$, and $x_{n+1}=2 x_{n}-x_{n-1}+2^{n}$ for $n \geq 2$. Find $x_{2012}$.","$2^{2013}-6036$","Answer: $2^{2013}-6036$ Let $y_{n}=x_{n}-2^{n+1}$. Note that

$$
x_{n+1}=2 x_{n}-x_{n-1}+2^{n} \Leftrightarrow y_{n+1}=2 y_{n}-y_{n-1} \Leftrightarrow y_{n+1}-y_{n}=y_{n}-y_{n-1} .
$$

Using the values for $x_{1}, x_{2}$, we get that $y_{1}=-3$ and $y_{2}=-6$, so $y_{n+1}-y_{n}=(-6)-(-3)=-3$. By induction, $y_{n}=-3 n$. Then, we get that $x_{n}=2^{n+1}-3 n$, so $x_{2012}=2^{2013}-6036$.","HMMT November 2012 Guts #26","algebra","numerical","True","4","49","6.0"
"Find the number of ordered triples of positive integers ( $a, b, c$ ) satisfying $a^{2}-b^{2}+a c-b c=2012$.","1755","Answer: 1755 We write this as $(a-b)(a+b)+(a-b)(c)=(a-b)(a+b+c)=2012$. Since $a, b, c$ are positive integers, $a-b<a+b+c$. So, we have three possibilities: $a-b=1$ and $a+b+c=2012$, $a-b=2$ and $a+b+c=1006$, and $a-b=4$ and $a+b+c=503$.
The first solution gives $a=b+1$ and $c=2011-2 b$, so $b$ can range from 1 through 1005 , which determines $a$ and $c$ completely.
Similarly, the second solution gives $a=b+2$ and $c=1004-2 b$, so $b$ can range from 1 through 501 .
Finally, the third solution gives $a=b+4$ and $c=499-2 b$, so $b$ can range from 1 through 249 .
Hence, the total number of solutions is $1005+501+249=1755$.","HMMT November 2012 Guts #27","number_theory","numerical","True","4","755","6.5"
"Find the set of all possible values that can be attained by the expression $\frac{a b+b^{2}}{a^{2}+b^{2}}$, where $a$ and $b$ are positive real numbers. Express your answer in interval notation.","$\left(0, \frac{1+\sqrt{2}}{2}\right]$","Answer: $\left(0, \frac{1+\sqrt{2}}{2}\right]$ Suppose that $k=\frac{a b+b^{2}}{a^{2}+b^{2}}$ for some positive real $a, b$. We claim that $k$ lies in $\left(0, \frac{1+\sqrt{2}}{2}\right]$.","HMMT November 2012 Guts #28","algebra","numerical","True","2","6","6.0"
"Find the sum of the real values of $x$ satisfying $(x+1)(2 x+1)(3 x+1)(4 x+1)=16 x^{4}$.","$-\frac{25+5 \sqrt{17}}{8}$","Answer: $-\frac{25+5 \sqrt{17}}{8}$ First, note that $(x+1)(2 x+1)(3 x+1)(4 x+1)=((x+1)(4 x+1))((2 x+1)(3 x+$ 1) $)=\left(4 x^{2}+5 x+1\right)\left(6 x^{2}+5 x+1\right)=\left(5 x^{2}+5 x+1-x^{2}\right)\left(5 x^{2}+5 x+1+x^{2}\right)=\left(5 x^{2}+5 x+1\right)^{2}-x^{4}$. Therefore, the equation is equivalent to $\left(5 x^{2}+5 x+1\right)^{2}=17 x^{4}$, or $5 x^{2}+5 x+1= \pm \sqrt{17} x^{2}$.
If $5 x^{2}+5 x+1=\sqrt{17} x^{2}$, then $(5-\sqrt{17}) x^{2}+5 x+1=0$. The discriminant of this is $25-4(5-\sqrt{17})= 5+4 \sqrt{17}$, so in this case, there are two real roots and they sum to $-\frac{5}{5-\sqrt{17}}=-\frac{25+5 \sqrt{17}}{8}$.
If $5 x^{2}+5 x+1=-\sqrt{17} x^{2}$, then $(5+\sqrt{17}) x^{2}+5 x+1=0$. The discriminant of this is $25-4(5+\sqrt{17})= 5-4 \sqrt{17}$. This is less than zero, so there are no real solutions in this case. Therefore, the sum of all real solutions to the equation is $-\frac{25+5 \sqrt{17}}{8}$.","HMMT November 2012 Guts #29","algebra","numerical","True","4","55","6.5"
"A monkey forms a string of letters by repeatedly choosing one of the letters $a, b$, or $c$ to type at random. Find the probability that he first types the string aaa before he first types the string $a b c$.","$\frac{3}{7}$","Answer: $\frac{3}{7}$","HMMT November 2012 Guts #30","counting","numerical","True","5","10","7.0"
"Let $A B C D$ be a regular tetrahedron with $A B=1$, and let $P$ be the center of face $B C D$. Let $M$ be the midpoint of segment $A P$. Ray $B M$ meets face $A C D$ at $Q$. Determine the area of triangle QDC.","$\frac{3 \sqrt{3}}{20}$","Answer: $\frac{3 \sqrt{3}}{20}$ We place the points in the coordinate plane. We let $A=\left(0,0, \frac{\sqrt{6}}{3}\right), B=\left(0, \frac{\sqrt{3}}{3}, 0\right)$, $C=\left(-\frac{1}{2},-\frac{\sqrt{3}}{6}, 0\right)$, and $D=\left(\frac{1}{2}, \frac{\sqrt{3}}{6}, 0\right)$. The point $P$ is the origin, while $M$ is $\left(0,0, \frac{\sqrt{6}}{6}\right)$. The line through $B$ and $M$ is the line $x=0, y=\frac{\sqrt{3}}{3}-z \sqrt{2}$. The plane through $A, C$, and $D$ has equation $z=2 \sqrt{2} y+\sqrt{\frac{2}{3}}$. The coordinates of $Q$ are the coordinates of the intersection of this line and this plane. Equating the equations and solving for $y$ and $z$, we see that $y=-\frac{1}{5 \sqrt{3}}$ and $z=\frac{\sqrt{6}}{5}$, so the coordinates of $Q$ are $\left(0,-\frac{1}{5 \sqrt{3}}, \frac{\sqrt{6}}{5}\right)$.
Let $N$ be the midpoint of $C D$, which has coordinates $\left(0,-\frac{\sqrt{3}}{6}, 0\right)$. By the distance formula, $Q N=\frac{3 \sqrt{3}}{10}$. Thus, the area of $Q C D$ is $\frac{Q N \cdot C D}{2}=\frac{3 \sqrt{3}}{20}$.
32. [17]

Answ","HMMT November 2012 Guts #31","geometry","numerical","True","4","23","6.0"
"Define $f(n)$ to be the remainder when $n^{n^{n}}$ is divided by 23 for each positive integer $n$. Find the smallest positive integer $k$ such that $f(n+k)=f(n)$ for all positive integers $n$.","2530","Answer: 2530 Note that $\phi(23)=22$ and $\phi(22)=10$, so if $\operatorname{lcm}(23,22,10)=2530 \mid k$ then $f(n+k) \equiv f(n)(\bmod 23)$ is always true. We show that this is necessary as well.
Choosing $n \equiv 0(\bmod 23)$, we see that $k \equiv 0(\bmod 23)$. Thus $n+k \equiv n(\bmod 23)$ always, and we can move to the exponent by choosing $n$ to be a generator modulo 23 :
$(n+k)^{n+k} \equiv n^{n}(\bmod 22)$
The choice of $n$ here is independent of the choice (mod 23 ) since 22 and 23 are coprime. Thus we must have again that $22 \mid k$, by choosing $n \equiv 0(\bmod 22)$. But then $n+k \equiv n(\bmod 11)$ always, and we can go to the exponent modulo $\phi(11)=10$ by choosing $n$ a generator modulo 11 :
$n+k \equiv n(\bmod 10)$
From here it follows that $10 \mid k$ as well. Thus $2530 \mid k$ and 2530 is the minimum positive integer desired.","HMMT November 2012 Guts #32","number_theory","numerical","True","4","530","6.5"
"You are playing pool on a $1 \times 1$ table, and the cue ball is at the bottom left corner of the square.","$\tan ^{-1}\left(\frac{1009}{1005}\right)$","Answer: $\tan ^{-1}\left(\frac{1009}{1005}\right)$ As per usual with reflection problems instead of bouncing off the sides of a $1 \times 1$ square we imagine the ball to travel in a straight line from origin in an infinite grid of $1 \times 1$ squares, ""bouncing"" every time it meets a line $x=m$ or $y=n$. Let the lattice point it first meets after leaving the origin be ( $a, b$ ), so that $b>a$. Note that $a$ and $b$ are coprime, otherwise the ball will reach a vertex before the 2012th bounce. We wish to minimize the slope of the line to this point from origin, which is $b / a$.

Now, the number of bounces up to this point is $a-1+b-1=a+b-2$, so the given statement is just $a+b=2014$. To minimize $b / a$ with $a$ and $b$ relatively prime, we must have $a=1005, b=1009$, so that the angle is $\tan ^{-1}\left(\frac{1009}{1005}\right)$.","HMMT November 2012 Guts #33","geometry","numerical","True","4","19","7.0"
"For a positive integer $n$, let $\tau(n)$ be the number of divisors of $n$. Determine $\sum_{n=1}^{2012} \tau(n)$. Your score will be $\max \left\{0,\left\lfloor 20\left(1-\frac{|S-k|}{S}\right)^{3}\right\rfloor\right\}$, where $k$ is your answer and $S$ is the actual answer.","15612","Answer: 15612 Note that the number of integers between 1 and 2012 that have $n$ as a divisor is $\left\lfloor\frac{2012}{n}\right\rfloor$. Therefore, if we sum over the possible divisors, we see that the sum is equivalent to $\sum_{d=1}^{2012}\left\lfloor\frac{2012}{d}\right\rfloor$. This can be approximated by $\sum_{d=1}^{2012} \frac{2012}{d}=2012 \sum_{d=1}^{2012} \frac{1}{d} \approx 2012 \ln (2012)$. As it turns out, $2012 \ln (2012) \approx 15300$, which is worth 18 points.","HMMT November 2012 Guts #34","number_theory","numerical","True","4","612",""
